,Tweets,ID
235,Gaelic books dumped in skip in Oban prompts probe https://t.co/zvkkzkkvpf,1501162246252204033
236,"➡️ Vaccines not linked to deaths, study finds
➡️ Brain changes detected before and after Covid infection
➡️ Trial begins of four accused of plotting to kidnap governor over Covid rules

Five things you need to know about Covid today

https://t.co/ytMklNiA5m",1501160084658962433
237,Oxford University's 'push' for change after cycling deaths https://t.co/m2r3ds3Mky,1501156557144399875
238,"Vera Wang: ""I find ageism so old-fashioned"" https://t.co/IZwNAhV4aj",1501155160042713088
239,Greggs warns of further price increases https://t.co/wI1NfGKp3H,1501152322948411395
240,Revolutionary heart-thymus combined transplant success https://t.co/BZGmWjjLkr,1501147465633914885
241,UTI testing for women '50 years out of date' https://t.co/EWuZuh69ll,1501146784055369730
242,Documenting the war in Ukraine via TikTok https://t.co/gdKskpVsg2,1501145395937882115
243,The big and small ways that people in the UK are helping Ukraine https://t.co/s5NJDz92VL,1501141962040164353
244,"Can Europe wean itself off Russian oil and gas?

Find out in the latest #BBCNewscast: https://t.co/BBKULbfrQJ",1501138488523116544
245,Is it time to ditch your car for a bike? https://t.co/UTscwkOx86,1501132974120706049
246,Girl honoured after raising £215k for Birmingham hospital https://t.co/R9u6dFGWj2,1501128917171777540
247,"Covid vaccines not linked to deaths, major US study finds https://t.co/6MJaLneXVY",1501124198546264067
248,"Amazon rainforest reaching tipping point, researchers say https://t.co/qo0EucDA7N",1501121567220281345
249,Can tech help revive India's 'crumbling' health system? https://t.co/8Lo5vi2U7C,1501117786738860034
250,Firefighters tackling large mountain blaze in south Wales https://t.co/796hqOzCAw,1501113999429148673
251,"Killing Eve's Sandra Oh on celebrating Pixar, puberty and periods https://t.co/CxsZC4j6dN",1501110927994851329
252,Residents raised concerns before huge east London blaze https://t.co/caMh7BZfbh,1501107830492958723
253,Study finds cross-border alcohol buying between Scotland and England is minimal https://t.co/g4oyGBkCL6,1501106946803388420
254,World Bank approves $723m financial package for Ukraine https://t.co/P3OhEVokDX,1501102538015322113
255,'I've cut out energy drinks now mum's given me a kidney' https://t.co/kwezZApOqE,1501101873478217728
256,Isle of Wight NHS staff leaving over lack of halal meat https://t.co/wgiEZ14e9n,1501100518311084032
